,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,ID
26241,2003-09-07,Colombia,Brazil,1,2,FIFA World Cup qualification,Barranquilla,Colombia,False,2003-09-07-Colombia-Brazil
26243,2003-09-07,Uruguay,Bolivia,5,0,FIFA World Cup qualification,Montevideo,Uruguay,False,2003-09-07-Uruguay-Bolivia
26244,2003-09-09,Chile,Peru,2,1,FIFA World Cup qualification,Santiago,Chile,False,2003-09-09-Chile-Peru
26246,2003-09-09,Venezuela,Argentina,0,3,FIFA World Cup qualification,Caracas,Venezuela,False,2003-09-09-Venezuela-Argentina
26247,2003-09-10,Albania,Georgia,3,1,UEFA Euro qualification,Tirana,Albania,False,2003-09-10-Albania-Georgia
26248,2003-09-10,Andorra,Bulgaria,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,2003-09-10-Andorra-Bulgaria
26249,2003-09-10,Belgium,Croatia,2,1,UEFA Euro qualification,Brussels,Belgium,False,2003-09-10-Belgium-Croatia
26250,2003-09-10,Bolivia,Colombia,4,0,FIFA World Cup qualification,La Paz,Bolivia,False,2003-09-10-Bolivia-Colombia
26251,2003-09-10,Brazil,Ecuador,1,0,FIFA World Cup qualification,Manaus,Brazil,False,2003-09-10-Brazil-Ecuador
26252,2003-09-10,Czech Republic,Netherlands,3,1,UEFA Euro qualification,Prague,Czech Republic,False,2003-09-10-Czech Republic-Netherlands
26253,2003-09-10,Denmark,Romania,2,2,UEFA Euro qualification,Copenhagen,Denmark,False,2003-09-10-Denmark-Romania
26254,2003-09-10,England,Liechtenstein,2,0,UEFA Euro qualification,Manchester,England,False,2003-09-10-England-Liechtenstein
26255,2003-09-10,Faroe Islands,Lithuania,1,3,UEFA Euro qualification,Toftir,Faroe Islands,False,2003-09-10-Faroe Islands-Lithuania
26256,2003-09-10,Germany,Scotland,2,1,UEFA Euro qualification,Dortmund,Germany,False,2003-09-10-Germany-Scotland
